# Lodders (2009) solar abundances, ALL elements at solar. This is what upstream
# VULCAN ships. Select it with `fastchem_solar_abundance_file` when you want a
# cross-code comparison against an unmodified VULCAN checkout; the shipped
# default is the rocky-suppressed Lodders 2019 file next to this one.
#
# ONE DELIBERATE CHANGE FROM UPSTREAM: P and S are swapped back into the order
# FastChem actually expects. Upstream lists S on row 6 and P on row 7, but its
# own mass_action_constant.cpp hard-codes index_P=5 and index_S=6, so upstream's
# order gives phosphorus sulfur's reference polynomial and vice versa. Values
# are otherwise byte-for-byte upstream's. See correction C12.
#
# DO NOT REORDER ROWS. FastChem's mass_action_constant.cpp hard-codes slots
#   C=0 H=1 He=2 N=3 O=4 P=5 S=6 Si=7 Ti=8 V=9 Cl=10 K=11 Na=12 Mg=13 F=14
#   Ca=15 Fe=16 e-=17
# and builds the element vector in the order these rows appear. Guarded by
# runtime_validation.py and tests/test_fastchem_element_order.py.
#
# WHAT THIS COSTS: the shipped NCHO/SNCHO networks have no Mg, Si or Fe species,
# so at solar dex FastChem locks oxygen into MgO/SiO2/FeO that the kinetics can
# never release. On HD 189733 b this lowers deep H2O by ~25% and CO2 by ~42%
# relative to the rocky-suppressed default. Use this file to match upstream, not
# because it is the better initial condition for a C-H-N-O network.
C   8.4434
H   12.00
He  10.9864
N   7.9130
O   8.7826
P   5.5058
S   7.12
Si  7.5867
Ti  4.9794
V   4.0437
Cl  5.3002
K   5.1619
Na  6.3479
Mg  7.5995
F   4.49196
Ca  6.3677
Fe  7.5151
e-  0
